image,id,choice,annotator,annotation_id,created_at,updated_at,lead_time
http://localhost:8081/66940.png,20172,Matt Haney,1,1066,2022-09-15T04:28:39.552819Z,2022-09-15T04:28:39.552831Z,3.542
http://localhost:8081/71556.png,24892,David Campos,1,1065,2022-09-15T04:28:35.893333Z,2022-09-15T04:28:35.893343Z,0.711
http://localhost:8081/7440.png,2296,Matt Haney,1,1064,2022-09-15T04:28:35.058234Z,2022-09-15T04:28:35.058245Z,1.252
http://localhost:8081/45653.png,5304,David Campos,1,1063,2022-09-15T04:28:33.682714Z,2022-09-15T04:28:33.682727Z,0.7
http://localhost:8081/71594.png,29043,Matt Haney,1,1062,2022-09-15T04:28:32.862148Z,2022-09-15T04:28:32.862159Z,0.564
http://localhost:8081/24642.png,6225,Matt Haney,1,1061,2022-09-15T04:28:32.173170Z,2022-09-15T04:28:32.173182Z,0.854
http://localhost:8081/67708.png,32867,Matt Haney,1,1060,2022-09-15T04:28:31.196083Z,2022-09-15T04:28:31.196096Z,0.573
http://localhost:8081/23614.png,26176,Matt Haney,1,1059,2022-09-15T04:28:30.498886Z,2022-09-15T04:28:30.498901Z,0.626
http://localhost:8081/43856.png,47966,Matt Haney,1,1058,2022-09-15T04:28:29.754007Z,2022-09-15T04:28:29.754019Z,0.619
http://localhost:8081/2841.png,849,David Campos,1,1057,2022-09-15T04:28:29.006939Z,2022-09-15T04:28:29.006948Z,0.682
http://localhost:8081/69842.png,50118,David Campos,1,1056,2022-09-15T04:28:28.214334Z,2022-09-15T04:28:28.214348Z,2.25
http://localhost:8081/68858.png,66328,David Campos,1,1055,2022-09-15T04:28:25.838148Z,2022-09-15T04:28:25.838159Z,1.075
http://localhost:8081/22733.png,37249,Matt Haney,1,1054,2022-09-15T04:28:24.630438Z,2022-09-15T04:28:24.630450Z,0.524
http://localhost:8081/20907.png,29886,David Campos,1,1053,2022-09-15T04:28:23.982861Z,2022-09-15T04:28:23.982874Z,0.687
http://localhost:8081/23363.png,37301,Matt Haney,1,1052,2022-09-15T04:28:23.176269Z,2022-09-15T04:28:23.176281Z,0.642
http://localhost:8081/50189.png,28138,David Campos,1,1051,2022-09-15T04:28:22.410379Z,2022-09-15T04:28:22.410397Z,0.489
http://localhost:8081/11690.png,40834,David Campos,1,1050,2022-09-15T04:28:21.797564Z,2022-09-15T04:28:21.797577Z,0.605
http://localhost:8081/19878.png,9783,David Campos,1,1049,2022-09-15T04:28:21.068771Z,2022-09-15T04:28:21.068789Z,0.699
http://localhost:8081/11687.png,45809,David Campos,1,1048,2022-09-15T04:28:20.251864Z,2022-09-15T04:28:20.251877Z,0.618
